participant_id,condition,counterbalance_list,phase,trial_index,trial_index_global,pair_id,stimulus_id,mechanism,integrity,provenance_condition,transfer_type,trust_pre,misleading_pre,confidence_pre,trust_post,misleading_post,confidence_post,initial_response_time_ms,intervention_time_ms,locate_time_ms,explain_time_ms,verify_time_ms,compare_time_ms,trial_total_time_ms,detection_correct,false_positive,false_negative,belief_revision
MV-00000000,control,A,baseline,0,0,B-02,S102.svg,cherry-picked-time,misleading,,,85,unsure,74,,,,9873,,,,,,15223,False,False,True,
MV-00000000,control,A,baseline,1,1,B-03,S103.svg,hidden-uncertainty,accurate,,,83,no,40,,,,5615,,,,,,30876,True,False,False,
MV-00000000,control,A,baseline,2,2,B-04,S104.svg,area-distortion,misleading,,,67,yes,49,,,,6527,,,,,,39365,True,False,False,
MV-00000000,control,A,baseline,3,3,B-01,S101.svg,truncated-axis,accurate,,,76,no,64,,,,4584,,,,,,19763,True,False,False,
MV-00000000,control,A,main,0,4,AD-02,S016.svg,area-distortion,misleading,none,,62,unsure,42,48,unsure,74,14955,6045,,,,,39887,False,False,True,-14
MV-00000000,control,A,main,1,5,HU-02,S011.svg,hidden-uncertainty,accurate,none,,79,no,58,83,no,63,13299,13459,,,,,14300,True,False,False,4
MV-00000000,control,A,main,2,6,CP-01,S006.svg,cherry-picked-time,misleading,ai-assisted,,85,yes,82,76,yes,45,6733,18013,,,,,15628,True,False,False,-9
MV-00000000,control,A,main,3,7,CE-01,S017.svg,color-emphasis,accurate,ai-assisted,,61,no,69,63,no,50,13415,10065,,,,,19641,True,False,False,2
MV-00000000,control,A,main,4,8,CE-02,S019.svg,color-emphasis,accurate,none,,68,no,84,73,no,44,14199,13980,,,,,28806,True,False,False,5
MV-00000000,control,A,main,5,9,AD-01,S014.svg,area-distortion,misleading,ai-assisted,,50,yes,55,36,yes,64,5677,8422,,,,,38323,True,False,False,-14
MV-00000000,control,A,main,6,10,MT-02,S024.svg,misleading-title,misleading,none,,80,unsure,54,70,unsure,89,14216,16713,,,,,9832,False,False,True,-10
MV-00000000,control,A,main,7,11,CP-02,S008.svg,cherry-picked-time,misleading,none,,54,no,60,46,no,44,9572,7456,,,,,37921,False,False,True,-8
MV-00000000,control,A,main,8,12,HU-01,S009.svg,hidden-uncertainty,accurate,ai-assisted,,75,no,71,80,no,69,9482,6340,,,,,16679,True,False,False,5
MV-00000000,control,A,main,9,13,TA-01,S001.svg,truncated-axis,accurate,ai-assisted,,63,no,75,65,no,87,11830,13577,,,,,22038,True,False,False,2
MV-00000000,control,A,main,10,14,TA-02,S003.svg,truncated-axis,accurate,none,,80,no,48,83,no,45,11348,16382,,,,,9543,True,False,False,3
MV-00000000,control,A,main,11,15,MT-01,S022.svg,misleading-title,misleading,ai-assisted,,47,yes,50,34,yes,78,14149,5040,,,,,20608,True,False,False,-13
MV-00000000,control,A,transfer,0,16,T-05,S205.svg,dual-axis,misleading,,far,64,yes,69,,,,11669,,,,,,16238,True,False,False,
MV-00000000,control,A,transfer,1,17,T-04,S204.svg,cherry-picked-time,accurate,,near,90,unsure,40,,,,14145,,,,,,31616,False,False,False,
MV-00000000,control,A,transfer,2,18,T-03,S203.svg,truncated-axis,misleading,,near,47,unsure,74,,,,7371,,,,,,33185,False,False,True,
MV-00000000,control,A,transfer,3,19,T-01,S201.svg,color-emphasis,accurate,,near,76,no,67,,,,5591,,,,,,22867,True,False,False,
MV-00000000,control,A,transfer,4,20,T-06,S206.svg,pie-3d,accurate,,far,55,yes,86,,,,7315,,,,,,39846,False,True,False,
MV-00000000,control,A,transfer,5,21,T-02,S202.svg,misleading-title,misleading,,near,72,unsure,72,,,,4743,,,,,,36525,False,False,True,
MV-00000001,egvv,B,baseline,0,0,B-02,S102.svg,cherry-picked-time,misleading,,,48,unsure,75,,,,5705,,,,,,16685,False,False,True,
MV-00000001,egvv,B,baseline,1,1,B-03,S103.svg,hidden-uncertainty,accurate,,,88,unsure,67,,,,6470,,,,,,38438,False,False,False,
MV-00000001,egvv,B,baseline,2,2,B-04,S104.svg,area-distortion,misleading,,,74,unsure,84,,,,6295,,,,,,31361,False,False,True,
MV-00000001,egvv,B,baseline,3,3,B-01,S101.svg,truncated-axis,accurate,,,74,no,82,,,,13647,,,,,,20236,True,False,False,
MV-00000001,egvv,B,main,0,4,AD-01,S014.svg,area-distortion,misleading,none,,68,no,68,46,yes,64,4982,5049,3384,2086,4409,4268,15540,True,False,False,-22
MV-00000001,egvv,B,main,1,5,HU-01,S009.svg,hidden-uncertainty,accurate,none,,69,no,85,65,no,64,13339,5104,5708,2128,5521,3353,10321,True,False,False,-4
MV-00000001,egvv,B,main,2,6,TA-02,S004.svg,truncated-axis,misleading,ai-assisted,,72,yes,82,51,yes,84,10953,6167,4962,5831,5614,4338,26881,True,False,False,-21
MV-00000001,egvv,B,main,3,7,MT-02,S023.svg,misleading-title,accurate,ai-assisted,,85,no,70,86,no,56,9669,5588,4699,3765,3451,3734,21470,True,False,False,1
MV-00000001,egvv,B,main,4,8,AD-02,S015.svg,area-distortion,accurate,ai-assisted,,84,unsure,43,82,no,53,14032,10596,4982,3389,5279,5529,11580,True,False,False,-2
MV-00000001,egvv,B,main,5,9,CE-02,S020.svg,color-emphasis,misleading,ai-assisted,,55,yes,74,36,yes,77,10350,7006,3140,3894,3023,5581,38253,True,False,False,-19
MV-00000001,egvv,B,main,6,10,CP-02,S007.svg,cherry-picked-time,accurate,ai-assisted,,59,no,75,55,no,91,4604,12856,5424,2060,5969,2382,38355,True,False,False,-4
MV-00000001,egvv,B,main,7,11,HU-02,S012.svg,hidden-uncertainty,misleading,ai-assisted,,55,yes,71,34,yes,75,10886,18785,2240,2674,3552,2008,20793,True,False,False,-21
MV-00000001,egvv,B,main,8,12,TA-01,S001.svg,truncated-axis,accurate,none,,71,unsure,90,75,no,77,10454,15412,5921,4992,5208,4276,29688,True,False,False,4
MV-00000001,egvv,B,main,9,13,MT-01,S022.svg,misleading-title,misleading,none,,85,yes,52,64,yes,53,7861,13489,5013,4220,2249,5063,18276,True,False,False,-21
MV-00000001,egvv,B,main,10,14,CE-01,S017.svg,color-emphasis,accurate,none,,58,no,70,58,no,53,11238,19741,4080,2328,5487,2761,10245,True,False,False,0
MV-00000001,egvv,B,main,11,15,CP-01,S006.svg,cherry-picked-time,misleading,none,,78,yes,55,60,yes,86,9615,8033,4371,4435,2162,4536,10686,True,False,False,-18
MV-00000001,egvv,B,transfer,0,16,T-02,S202.svg,misleading-title,misleading,,near,66,unsure,76,,,,11565,,,,,,18366,False,False,True,
MV-00000001,egvv,B,transfer,1,17,T-05,S205.svg,dual-axis,misleading,,far,56,yes,85,,,,8147,,,,,,15821,True,False,False,
MV-00000001,egvv,B,transfer,2,18,T-03,S203.svg,truncated-axis,misleading,,near,56,yes,82,,,,13575,,,,,,17830,True,False,False,
MV-00000001,egvv,B,transfer,3,19,T-06,S206.svg,pie-3d,accurate,,far,84,no,88,,,,4188,,,,,,8305,True,False,False,
MV-00000001,egvv,B,transfer,4,20,T-04,S204.svg,cherry-picked-time,accurate,,near,84,no,76,,,,4638,,,,,,10400,True,False,False,
MV-00000001,egvv,B,transfer,5,21,T-01,S201.svg,color-emphasis,accurate,,near,89,no,56,,,,5170,,,,,,38581,True,False,False,
MV-00000002,control,C,baseline,0,0,B-02,S102.svg,cherry-picked-time,misleading,,,53,unsure,56,,,,11280,,,,,,24008,False,False,True,
MV-00000002,control,C,baseline,1,1,B-03,S103.svg,hidden-uncertainty,accurate,,,71,unsure,43,,,,4512,,,,,,28784,False,False,False,
MV-00000002,control,C,baseline,2,2,B-04,S104.svg,area-distortion,misleading,,,67,no,42,,,,3058,,,,,,18929,False,False,True,
MV-00000002,control,C,baseline,3,3,B-01,S101.svg,truncated-axis,accurate,,,63,no,56,,,,5647,,,,,,32288,True,False,False,
MV-00000002,control,C,main,0,4,AD-01,S013.svg,area-distortion,accurate,ai-assisted,,83,no,67,83,no,47,12189,5232,,,,,38967,True,False,False,0
